 Pvap bin lower limit [log10(Cstar)], Pvap bin upper limit [log10(Cstar)], Time [s], Kh [M/atm], MW [g/mol], Yield (SOA), Yield (total), Atomic O/C ratio, Atomic H/C ratio, Atomic N/C ratio, Precursor [ppb]                                                                                                               
9,10,2709.333252,603228.0208,198.4712698,0,0,1.6,0.960980735,7.97E-02,149.9422762
-10,-9,3010.259277,0,0,0,0,0,0,0,149.9422762
-9,-8,3010.259277,8.99963E+15,147.0644237,0,0,1.499994699,0.750034459,0,149.9422762
-8,-7,3010.259277,9.11E+17,199.971908,0,0,2.049096652,0.798892114,2.62E-07,149.9422762
-7,-6,3010.259277,3.00572E+14,140.1361937,0,0,0.428571641,1.142857061,6.83E-16,149.9422762
-6,-5,3010.259277,7.45E+17,120.5613844,0,0,0.9293303,0.856333434,1.69E-08,149.9422762
-5,-4,3010.259277,5.46679E+11,124.2476915,0,0,0.840520493,0.690293619,0.106141872,149.9422762
-4,-3,3010.259277,5.46426E+11,114.0991177,0,0,0.600000156,1.199999922,1.33E-10,149.9422762
-3,-2,3010.259277,9.49E+17,121.3561047,0,0,0.281747247,0.865205689,4.71E-04,149.9422762
-2,-1,3010.259277,4.41563E+15,196.0907878,0,0,0.710980482,0.857124075,0.281184201,149.9422762
-1,0,3010.259277,4.18026E+14,114.756592,0,0,0.608646473,1.197133392,6.42E-05,149.9422762
0,1,3010.259277,1641552422,163.8876907,0,0,2.330478014,0.668094376,0.332619533,149.9422762
1,2,3010.259277,2.98217E+12,118.3262427,0,0,1.192069006,1.009938539,5.54E-02,149.9422762
2,3,3010.259277,30206467768,90.09406286,0,0,2.000143613,0.999909477,2.76E-04,149.9422762
3,4,3010.259277,765896.6482,120.0125555,0,0,1.661360269,1.3325908,1.31E-04,149.9422762
4,5,3010.259277,5.38795E+14,131.1452187,0,0,1.329258932,1.00907498,0.116847578,149.9422762
5,6,3010.259277,60912500.32,119.1250004,0,0,1.333513634,1.666350488,0.333327454,149.9422762
6,7,3010.259277,1999393.039,210.0274613,0,0,2.999576287,0.666878523,0.666454812,149.9422762
7,8,3010.259277,4965033.21,374.8685091,0,0,3.186943075,0.802840042,0.795624251,149.9422762
8,9,3010.259277,15389.69393,218.3374338,0,0,2.907296241,0.996400204,0.685529467,149.9422762
9,10,3010.259277,571478.0806,198.8213776,0,0,1.6,0.941854265,8.60E-02,149.9422762
-10,-9,3311.185303,0,0,0,0,0,0,0,149.9422762
-9,-8,3311.185303,8.99962E+15,147.064472,0,0,1.499994548,0.750035439,0,149.9422762
-8,-7,3311.185303,9.15E+17,199.7860897,0,0,2.055201541,0.798088707,2.47E-07,149.9422762
-7,-6,3311.185303,3.00584E+14,140.1361936,0,0,0.428571645,1.142857059,8.64E-16,149.9422762
-6,-5,3311.185303,7.44E+17,120.5173548,0,0,0.930865009,0.856530033,1.32E-08,149.9422762
-5,-4,3311.185303,5.36747E+11,124.9578265,0,0,0.867842471,0.683760966,0.110300819,149.9422762
-4,-3,3311.185303,4.86458E+11,114.099109,0,0,0.600000136,1.199999932,1.42E-10,149.9422762
-3,-2,3311.185303,9.59E+17,121.5290034,0,0,0.283548662,0.863639861,5.91E-04,149.9422762
-2,-1,3311.185303,4.8012E+15,196.368428,0,0,0.711996282,0.856680875,0.28173686,149.9422762
-1,0,3311.185303,4.74519E+14,114.845881,0,0,0.609758733,1.196762386,6.01E-05,149.9422762
0,1,3311.185303,1988664474,163.7996401,0,0,2.328932766,0.66886705,0.332233252,149.9422762
1,2,3311.185303,3.50127E+12,117.097859,0,0,1.168283629,1.011668831,5.21E-02,149.9422762
2,3,3311.185303,40935763383,90.09794153,0,0,2.000005878,0.999934131,2.72E-04,149.9422762
3,4,3311.185303,1006460.514,120.0083271,0,0,1.660262152,1.332418222,1.72E-04,149.9422762
4,5,3311.185303,5.22441E+14,129.8356634,0,0,1.332990336,1.010246464,0.114749961,149.9422762
5,6,3311.185303,61537687.45,119.1539007,0,0,1.333645965,1.666149618,0.333347792,149.9422762
6,7,3311.185303,1999497.923,210.0324033,0,0,2.999649503,0.666841915,0.66649142,149.9422762
7,8,3311.185303,4972076.355,375.1143934,0,0,3.189561504,0.802259485,0.796501963,149.9422762
8,9,3311.185303,17232.55579,207.2857118,0,0,2.692383693,0.995975515,0.596570841,149.9422762
9,10,3311.185303,649636.0118,197.9595271,0,0,1.6,0.988937356,7.04E-02,149.9422762
-10,-9,3612.111084,0,0,0,0,0,0,0,149.9422762
-9,-8,3612.111084,8.99961E+15,147.0645163,0,0,1.49999441,0.750036337,0,149.9422762
-8,-7,3612.111084,9.15E+17,199.501049,0,0,2.057397034,0.799519043,2.33E-07,149.9422762
-7,-6,3612.111084,3.00465E+14,140.1361949,0,0,0.428571601,1.142857076,1.41E-14,149.9422762
-6,-5,3612.111084,7.53E+17,120.683671,0,0,0.922611124,0.853123581,2.19E-09,149.9422762
-5,-4,3612.111084,7.42235E+11,110.2547108,0,0,0.301938341,0.819098557,2.42E-02,149.9422762
-4,-3,3612.111084,1.14515E+12,114.0992046,0,0,0.600000356,1.199999822,1.51E-10,149.9422762
-3,-2,3612.111084,8.21E+17,119.1991355,0,0,0.259766988,0.885472725,3.66E-04,149.9422762
-2,-1,3612.111084,4.40214E+15,194.6178309,0,0,0.714992246,0.879761495,0.278780306,149.9422762
-1,0,3612.111084,9.01068E+13,104.0748802,0,0,0.727779917,1.452485958,5.35E-06,149.9422762
0,1,3612.111084,2905286908,163.5720672,0,0,2.324939144,0.670863986,0.331234896,149.9422762
1,2,3612.111084,2.90448E+12,110.3069278,0,0,1.008066642,1.00967942,3.17E-02,149.9422762
2,3,3612.111084,80967551822,90.14046746,0,0,1.99965454,0.99998415,3.85E-04,149.9422762
3,4,3612.111084,2827181.707,119.4569989,0,0,1.622279374,1.328020584,4.53E-04,149.9422762
4,5,3612.111084,6.33031E+14,140.3098392,0,0,1.302228098,1.007831924,0.134459343,149.9422762
5,6,3612.111084,45339675.6,114.4262766,0,0,1.333770943,1.386861129,0.240320028,149.9422762
6,7,3612.111084,1999494.893,210.0322577,0,0,2.999646816,0.666843207,0.666490129,149.9422762
7,8,3612.111084,5499961.623,311.8490601,0,0,2.572710221,0.904832623,0.590893151,149.9422762
8,9,3612.111084,29460.87525,135.2305914,0,0,1.310330406,0.999743774,2.49E-02,149.9422762
9,10,3612.111084,791932.5546,196.3904177,0,0,1.6,1.074658165,4.18E-02,149.9422762
-10,-9,3913.037109,0,0,0,0,0,0,0,149.9422762
-9,-8,3913.037109,8.9996E+15,147.0645569,0,0,1.499994283,0.750037161,0,149.9422762
-8,-7,3913.037109,9.20E+17,199.4252835,0,0,2.063272072,0.797969724,2.22E-07,149.9422762
-7,-6,3913.037109,3.00477E+14,140.1361947,0,0,0.428571606,1.142857075,2.20E-14,149.9422762
-6,-5,3913.037109,7.49E+17,120.6538991,0,0,0.925010017,0.854731297,9.64E-10,149.9422762
-5,-4,3913.037109,7.72277E+11,108.1052874,0,0,0.219210316,0.838883103,1.16E-02,149.9422762
-4,-3,3913.037109,7.77093E+11,114.0991512,0,0,0.600000233,1.199999884,1.13E-10,149.9422762
-3,-2,3913.037109,9.02E+17,120.5151933,0,0,0.271591067,0.872758637,2.53E-04,149.9422762
-2,-1,3913.037109,2.95655E+15,196.2002548,0,0,0.712411225,0.862036305,0.281563114,149.9422762
-1,0,3913.037109,1.88844E+14,107.7732317,0,0,0.685826562,1.363584946,5.48E-06,149.9422762
0,1,3913.037109,7173708620,162.5033546,0,0,2.306185646,0.680240936,0.326546674,149.9422762
1,2,3913.037109,2.38288E+12,103.7800224,0,0,0.854508552,1.007940257,1.22E-02,149.9422762
2,3,3913.037109,3.17478E+11,90.27340766,0,0,1.996872962,1.000476859,4.99E-04,149.9422762
3,4,3913.037109,8837551.482,118.6849639,0,0,1.557031535,1.319815306,1.39E-03,149.9422762
4,5,3913.037109,7.12726E+14,148.0508187,0,0,1.279381501,1.006779252,0.149335561,149.9422762
